accidents,traffic_density,average_speed
20,2.3049,32.1592
11,3.2757,47.8623
19,2.0989,36.4476
23,4.9188,20.92
23,0.1961,37.378
31,6.7137,40.4621
29,5.2316,16.292
18,8.9864,35.2566
15,1.6439,21.7198
22,8.0411,40.9261
28,7.9196,14.7689
17,1.2718,46.888
14,3.9856,28.7393
21,1.7015,17.6652
22,2.5472,20.9686
25,2.6325,17.3899
25,5.5624,7.3123
18,4.1141,3.4246
27,9.4773,16.0889
24,1.2637,22.9345
20,9.7369,18.0908
23,2.3064,0.696
24,7.7287,28.9503
17,3.3897,7.2408
11,1.4308,10.5503
21,8.5789,6.0374
28,3.0886,26.0216
20,6.5886,4.758
19,5.6644,12.8179
26,4.7176,22.5854
17,4.9582,8.3854
23,7.3224,22.3121
25,0.8777,17.1368
14,6.6818,43.0299
19,8.9581,39.7452
14,0.5779,49.6427
23,1.4065,26.4456
29,7.1663,28.7699
18,4.3728,47.3323
18,4.0355,19.9796
22,1.3697,27.7841
23,5.0677,18.9543
24,1.2655,27.293
7,4.7662,4.0383
25,7.6362,39.1897
15,2.5826,49.264
22,4.8079,3.287
20,9.9202,40.052
24,6.8665,12.0867
28,8.4136,9.8774
15,4.1485,34.6685
17,7.6786,2.2066
14,0.4051,23.162
13,1.2291,0.0722
22,2.0307,27.7197
16,4.0195,23.1041
26,8.4574,45.7741
27,3.4627,36.0136
29,6.5462,6.3003
22,7.0931,17.727
28,5.8618,46.579
22,3.5724,36.2667
16,5.7705,29.7138
22,3.4227,27.9536
18,0.8387,19.9049
23,9.928,29.2601
24,1.2718,38.5832
12,0.7235,6.3769
26,8.7853,48.4915
13,3.0183,11.9682
15,6.503,22.3871
23,3.2901,1.1358
24,3.9145,27.5173
10,2.6211,19.0933
13,3.4304,12.4878
15,4.107,49.2762
17,7.2042,21.4071
29,5.1154,20.7148
27,9.4357,23.1552
21,0.4188,5.8077
13,5.0307,19.6548
17,5.8422,16.8202
25,9.202,23.2562
23,0.4916,42.8311
25,5.735,9.6393
23,8.5363,30.387
11,2.4193,1.8819
23,8.7629,15.8396
15,0.1904,23.6329
25,7.3245,3.714
29,9.3311,27.1984
18,6.572,15.5163
19,4.3903,49.6405
17,0.4488,31.5485
16,9.2011,12.2088
21,4.703,5.1337
19,0.29,2.036
24,6.8982,4.5387
27,4.8184,34.003
26,1.2435,42.7496
25,2.1427,7.8367
11,0.6449,20.1067
29,5.7429,17.7118
20,6.2203,32.2259
14,5.0574,9.1339
25,8.171,47.666
28,8.6101,36.4278
16,6.1562,47.7536
16,0.1276,13.8685
30,6.9523,29.3858
20,4.18,36.6134
30,5.6556,35.5478
14,6.4908,1.0673
12,3.5024,49.9145
18,9.171,46.403
14,1.3397,5.9876
16,6.7151,27.1783
19,0.0436,15.7278
17,9.2465,43.9447
21,1.125,34.876
11,0.9488,11.1759
12,3.3301,1.6931
21,3.7357,14.5871
22,2.143,1.9069
22,5.8512,7.0655
19,4.4291,31.8069
12,0.3418,37.2543
18,3.1965,23.4008
31,8.1043,30.0144
22,6.897,7.7943
21,7.2487,15.8398
29,6.9812,35.6442
27,3.1097,18.2446
20,0.9966,17.4406
8,2.7247,9.6996
31,8.3179,29.7412
26,9.8047,40.4769
21,4.9385,23.4723
16,0.097,5.777
13,1.4004,41.9184
13,3.2208,3.5699
26,5.7859,23.5864
18,0.7509,13.0539
33,9.4336,46.8159
21,3.6508,36.8772
33,9.1258,28.3204
16,7.8052,33.3878
21,7.5544,26.6364
29,6.0672,7.38
24,6.2678,35.4549
16,6.38,24.6337
25,6.2872,31.7155
23,5.5373,2.2601
25,9.8641,7.1017
17,7.3229,29.4685
28,7.7695,22.9714
21,8.7246,11.3437
13,2.1564,12.038
23,0.838,31.5829
13,4.8289,2.9484
29,5.1408,21.7129
22,8.2918,26.1552
14,4.4378,15.4071
25,5.7085,41.0275
28,5.2707,2.8385
14,0.382,43.2891
26,6.1521,36.1631
25,8.2804,22.3127
20,1.575,46.2234
18,5.9433,35.1119
19,5.9361,46.5523
18,1.6418,23.6295
17,1.2346,22.6487
28,9.8005,26.5371
17,3.9372,3.2713
27,2.2742,45.4247
15,1.7132,33.3859
21,6.676,30.8793
15,6.0945,46.3232
29,6.4355,49.6819
20,0.8801,8.1697
27,8.9353,37.4498
13,3.8927,28.9973
15,3.1337,23.0499
24,4.6236,48.8806
23,3.9007,42.5132
21,8.6358,34.8375
26,9.2926,19.1338
20,3.0345,33.302
26,8.6394,26.5847
28,7.8152,12.4684
20,9.3081,22.5191
17,2.4575,10.6106
21,5.7696,25.021
20,2.7454,36.0119
21,8.2409,1.8323
14,0.0532,38.269
16,5.6482,0.9997
18,3.392,25.8639
15,3.2268,28.6738
21,6.4491,38.0622
29,8.5148,38.0514
23,6.092,20.8728
18,8.5317,3.3186
18,2.646,34.675
27,5.195,25.5493
25,4.5054,16.6529
15,0.1164,11.7437
24,5.5681,5.9879
27,6.6152,14.7571
21,5.9191,22.9245
23,7.3628,23.8805
17,5.7134,29.1369
17,0.6675,18.1234
16,1.1645,45.9949
25,5.9647,24.7935
22,2.7498,21.1863
13,0.7965,2.4084
18,4.296,29.9508
16,5.5432,30.1434
16,3.2875,29.1645
17,7.2043,44.3798
28,6.4377,38.145
25,3.3282,43.3703
26,7.5487,2.9711
27,6.487,15.9063
11,6.3745,15.9356
22,5.5343,32.8523
11,0.1139,22.4308
21,6.9651,38.8736
13,3.7604,19.2215
22,9.4261,11.0804
21,8.1798,14.5476
15,5.8769,9.1235
19,2.5218,9.8946
14,2.0372,10.8419
22,3.4038,0.8047
29,4.7657,35.8044
18,2.9607,19.9801
24,5.1493,1.1336
10,1.6537,18.5004
16,9.7771,45.2684
15,1.0792,25.5622
23,9.3194,49.3376
33,9.1358,26.998
15,5.2536,48.1399
26,7.2491,10.09
12,4.3605,14.4967
14,6.3003,34.9985
17,3.4058,49.3411
18,3.0116,41.2649
22,5.7823,27.6853
17,4.9813,4.2576
21,5.7954,18.219
19,2.8666,4.3213
21,3.6696,15.5641
9,0.839,12.9396
15,0.5228,19.4278
20,2.5346,41.8638
24,0.7425,7.5188
17,1.0377,15.3032
17,8.1293,13.0559
24,0.3887,14.8071
20,6.5894,18.0312
10,2.7256,12.2156
22,8.7155,47.1291
18,4.8499,21.0051
17,3.0558,5.7057
24,5.1764,23.3829
20,3.8196,9.2216
17,5.643,10.8065
12,1.1453,14.2521
19,9.9699,6.238
15,4.2556,36.0559
16,3.4823,39.5973
24,7.1021,19.7142
14,3.639,34.4496
20,8.3327,19.4477
18,4.5427,8.2039
19,7.1956,19.8584
11,1.0745,27.8494
23,8.4612,2.0497
26,7.3572,32.7242
21,2.1172,37.1304
21,1.4529,42.9985
29,3.1629,5.1385
23,9.7607,0.0047
20,2.5683,3.6633
22,4.5613,46.2058
13,0.3002,38.2778
32,3.9723,41.7718
28,5.7132,25.8507
19,9.5312,26.336
20,5.1674,14.9253
27,8.1911,42.1377
22,5.4713,41.4885
11,0.4079,19.6086
19,3.1501,16.4634
21,5.7555,36.9187
27,9.5059,1.3084
33,8.5913,42.9974
16,2.2836,22.3124
16,2.2011,22.0672
15,2.0117,33.4539
21,9.225,32.2875
17,8.5267,13.2987
22,7.7488,47.1639
20,3.9274,49.3165
14,5.0438,26.2995
23,4.6433,28.069
14,2.534,27.7159
32,5.0503,24.2894
23,0.305,47.2594
10,1.3181,12.2376
17,8.8659,5.3979
21,7.5168,46.4774
16,4.2287,10.6519
25,5.1715,37.4578
23,3.7,10.1937
25,7.4078,48.0093
17,7.8419,39.5561
19,7.6329,45.9359
21,7.2261,47.5492
23,2.045,4.2212
12,3.3797,21.6694
15,4.6985,32.405
23,3.3079,40.1228
22,7.5494,12.0736
23,3.2935,45.7302
19,1.3823,11.0488
22,3.9904,43.3088
20,9.7991,25.6356
25,2.2588,25.7711
26,6.1216,18.7003
25,4.3297,5.1753
20,0.7102,17.3545
11,4.8788,21.3368
20,7.0216,23.9511
21,5.1322,36.9548
30,8.7211,17.6035
19,2.8894,20.3296
18,0.8625,45.3049
25,9.3657,37.6284
21,3.782,1.1428
18,5.7641,40.6044
21,7.92,49.4972
20,3.2431,46.9884
28,7.1616,41.7978
22,1.3542,31.4587
13,2.9129,13.9096
16,1.4471,32.7215
18,8.1123,34.7796
16,2.2265,14.0779
28,7.174,12.7665
28,9.433,19.8462
23,5.2777,32.0573
29,5.4003,14.6531
27,4.6103,27.7833
13,3.2589,44.9619
16,4.7566,14.755
30,6.0281,48.2987
23,9.8599,23.6674
21,9.3776,5.0454
23,8.6215,2.752
20,8.8913,16.9337
22,4.6785,12.9379
14,6.5744,42.1857
18,8.9507,36.8819
24,3.9295,44.2273
34,9.6176,29.4627
27,4.1579,21.7729
25,6.0108,13.5284
25,7.098,29.1554
25,9.5059,30.9012
21,2.4462,19.6474
24,7.4613,46.8298
17,5.2082,31.9977
28,2.6856,41.8741
18,7.7661,31.0195
24,5.5222,15.8268
26,6.6097,36.831
14,3.229,11.5127
14,4.8127,29.8305
17,6.1735,20.1183
16,4.0491,7.4942
11,1.9837,20.662
28,9.6164,15.514
28,5.1147,5.6111
19,7.3392,41.1914
15,4.1105,24.9291
11,3.5513,17.3178
23,4.0716,25.2482
21,4.092,37.7292
18,5.4418,0.9148
24,5.4347,27.3376
10,4.9715,23.9575
15,1.3479,44.6535
23,4.9608,27.7986
9,1.691,6.8661
10,1.2614,19.4342
27,9.3265,31.0535
16,6.0495,2.2967
23,6.5949,44.2325
19,4.0179,3.3891
21,9.0898,1.5296
11,6.3793,0.1008
22,7.6917,34.1872
26,3.6856,22.796
14,9.6001,5.1409
32,8.2046,42.8104
26,8.5395,10.136
16,1.7219,16.3162
8,2.7096,8.8861
17,2.8563,46.3378
17,2.7091,37.9033
22,8.5541,36.1977
17,0.3188,2.1998
20,0.761,26.1351
12,2.7391,28.7726
14,1.9987,19.126
16,2.3186,16.0878
21,7.9794,42.5971
26,5.6313,1.1508
17,0.0577,31.2677
26,4.2932,19.7123
18,4.0788,33.2975
20,1.1395,9.8959
23,6.7614,11.933
24,7.021,29.3427
29,7.2089,48.9969
30,7.2847,48.7342
13,0.0005,12.449
23,9.5392,5.1176
31,8.1421,29.5172
30,9.0398,20.9991
13,0.1564,38.0843
30,9.3386,26.3992
16,8.0979,25.5293
22,8.3722,32.323
23,0.9329,6.3209
30,7.3878,33.8581
16,9.5992,24.426
29,6.7855,41.0074
19,5.7056,6.9353
18,9.4563,15.0374
17,4.4294,47.5123
14,5.9929,27.6536
19,4.7634,46.465
24,9.3285,34.4518
19,0.7608,46.3216
20,5.0112,15.8913
17,6.8695,4.5267
23,7.9191,40.1121
19,5.8302,40.2234
35,9.0892,30.9413
20,9.4199,28.9785
19,0.6432,45.7454
18,4.0237,8.8249
21,0.2346,30.8269
26,3.2942,2.4885
21,5.3687,7.0432
23,9.1079,21.8636
16,8.4655,41.0604
13,1.275,36.6566
15,0.9303,48.7032
19,5.8927,2.2424
25,5.3212,19.0676
11,2.6638,7.9395
24,8.9945,1.8481
16,9.2737,13.2199
25,4.0261,12.2236
13,8.903,21.0014
23,3.8395,7.0041
15,7.3682,24.4284
23,4.7594,46.0049
12,1.2258,37.4094
26,9.2793,42.1089
17,4.541,40.2364
16,7.3449,19.4813
18,3.6717,35.4481
12,0.1888,37.7128
14,1.0053,10.2824
23,4.9622,43.0131
19,6.8996,22.8874
17,3.3474,0.818
15,6.9549,32.1692
25,6.9864,33.8382
29,7.0394,27.5881
15,4.9252,10.6208
18,9.1489,24.1139
19,4.892,20.0064
22,4.5027,48.7343
26,1.9938,41.2339
25,3.0766,38.095
16,0.4233,9.0537
24,6.3354,16.552
20,2.4854,18.9856
24,3.0416,24.6314
14,7.7081,1.5112
14,3.2722,29.6505
20,2.422,17.8928
20,1.6906,28.0839
21,7.7486,0.4489
16,1.2971,16.0717
16,4.5375,38.4333
28,5.0693,25.0541
15,6.8739,39.4444
21,6.3328,34.948
16,8.1072,42.746
12,0.4475,0.3722
20,2.9644,13.0663
23,2.8013,27.4401
15,1.4602,47.0509
13,2.8918,33.9895
19,3.0977,22.8294
25,5.2188,6.5071
24,6.637,24.6608
18,3.811,22.0543
14,7.1947,38.9222
22,3.3617,20.6674
19,2.9028,15.9419
23,5.4119,4.486
14,0.2372,2.3251
8,0.7979,21.9567
19,4.1797,17.3431
27,9.4291,27.7662
22,7.2151,35.5964
21,0.8813,2.0003
32,8.4632,24.8109
20,7.323,43.0986
14,6.1095,22.7583
14,8.2029,26.0621
12,4.0411,24.3396
13,2.215,19.4896
14,5.1202,5.506
13,5.4884,6.3178
10,5.3833,8.9545
25,5.6507,39.6282
23,9.487,13.7666
28,9.0225,47.4062
20,8.7572,40.5085
20,8.0142,34.227
24,9.4343,36.0197
19,0.9849,2.3816
18,2.6512,28.4195
23,4.9506,47.0528
24,8.4653,1.9555
22,5.0517,14.5508
21,7.4803,2.5756
14,1.3896,28.4871
19,2.5241,5.81
16,7.3178,23.9625
